id,ID,soloistName,soloistInstrument,soloistRoles
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,52446*,,,
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,8834*4,"Otto, Antoinette",Soprano,S
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,3642*,"Scharfenberg, William",Piano,A
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,3642*,"Hill, Ureli Corelli",Violin,A
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,3642*,"Derwort, G. H.",Viola,A
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,3642*,"Boucher, Alfred",Cello,A
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,3642*,"Rosier, F. W.",Double Bass,A
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,0*,,,
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,8834*3,,,
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,8835*1,"Otto, Antoinette",Soprano,S
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,8835*1,"Horn, Charles Edward",Tenor,S
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,8837*6,"Horn, Charles Edward",Tenor,S
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,8336*4,"Otto, Antoinette",Soprano,S
00646b9f-fec7-4ffb-9fb1-faae410bd9dc-0.1,5543*,,,
